year,current_account_pct_gdp
1977,-2.82
1978,-10.28
1979,3.53
1980,8.06
1981,-3.94
1982,-5.1
1983,-4.46
1984,0.17
1985,3.53
1986,0.38
1987,-0.14
1988,-0.6
1989,2.48
1990,9.23
1991,2.02
1992,4.36
1993,-1.38
1994,-2.65
1995,-0.57
1996,0.59
1997,0.08
1998,-0.55
1999,0.86
2000,10.74
2001,3.37
2002,1.14
2003,3.24
2004,12.4
2005,20.79
2006,15.31
2007,9.94
2008,8.59
2009,4.7
2010,3.57
2011,2.57
2012,3.74
2013,3.66
2014,0.16
2015,-3.13
2016,1.25
2017,3.61
2018,1.73
2019,-2.05
2020,-2.67
2021,-0.53
2022,0.16
2023,1.32
2024,7.54
2025,4.83
