year,inflation_rate,exchange_rate,gdp_growth,unemployment_rate,oil_rents_pct_gdp,reserves_usd_billion,current_account_pct_gdp
1960,5.44432736187238,0.714285999714286,,,,0.34,
1961,6.27914723477519,0.714285999714286,0.191795489572229,,,0.31,
1962,5.26563234621725,0.714285999714286,4.10299258868014,,,0.29,
1963,-2.69465535232729,0.714285999714286,8.57861891529701,,,0.21,
1964,0.856793145737561,0.714285999714286,4.95048866604155,,,0.23,
1965,4.1034587381162,0.714285999714286,4.88497683412908,,,0.24,
1966,9.69034608375115,0.714285999714286,-4.25051418415514,,,0.22,
1967,-3.72633676514213,0.714285999714286,-15.7436282082049,,,0.11,
1968,-0.476059059060828,0.714285999714286,-1.24836024581224,,,0.12,
1969,10.1559792028219,0.714285999714286,24.1973839456808,,,0.13,
1970,13.757079924793,0.714285999714286,25.0072419293896,,0.744583874202483,0.22,
1971,15.9991148482235,0.712855832988096,14.2375315562508,,0.570453170827289,0.43,
1972,3.45764975201502,0.657894999,3.3642620350363,,1.73540426995942,0.39,
1973,5.40266445394219,0.657894999,5.39276048395909,,2.79133237194799,0.62,
1974,12.674393177433,0.630282046248239,11.1606745454862,,26.9907856714977,5.71,
1975,33.9641883221776,0.615501553350787,-5.22774755532079,,18.264625689521,5.67,
1976,24.2999999999997,0.626601003665369,9.04235172630207,,16.2579292072575,5.26,
1977,15.0878340572688,0.644701062141186,6.02411784954168,,20.412281031815,4.34,-2.82
1978,21.7092457416664,0.635271994265801,-5.76415839390282,,16.4070585230072,2.03,-10.28
1979,11.7097306212117,0.604007374017144,6.75943093519177,,40.906778772599,5.9,3.53
1980,9.97226199001429,0.546780891916083,4.20483104427292,,24.7025134759538,10.64,8.06
1981,20.8128229121949,0.617708175028805,-13.1278804850514,,3.90947139545585,4.17,-3.94
1982,7.69774724714248,0.673461261528524,-6.80338881534801,,1.57387573008516,1.93,-5.1
1983,23.2123315511559,0.724409851151574,-10.9240850339388,,4.62229786170895,1.25,-4.46
1984,17.8205332860842,0.766527449112392,-1.11562321716821,,8.0029614407281,1.67,0.17
1985,7.43534482758627,0.893774083333333,5.91302745911393,,9.36777496664601,1.89,3.53
1986,5.71715145436308,1.75452300407481,0.0609452742066878,,4.23930215420131,1.35,0.38
1987,11.2903225806451,4.0160373443363,3.20012546702944,,8.76376619051025,1.5,-0.14
1988,54.5112247797672,4.53696666666667,7.33402548758716,,7.85120632984746,0.93,-0.6
1989,50.4666881235916,7.364735,1.91938129589555,,19.9070837346417,2.04,2.48
1990,7.36440030557697,8.038285,11.7768859342067,,21.9637183323591,4.13,9.23
