year,gdp_growth
1961,0.191795489572229
1962,4.10299258868014
1963,8.57861891529701
1964,4.95048866604155
1965,4.88497683412908
1966,-4.25051418415514
1967,-15.7436282082049
1968,-1.24836024581224
1969,24.1973839456808
1970,25.0072419293896
1971,14.2375315562508
1972,3.3642620350363
1973,5.39276048395909
1974,11.1606745454862
1975,-5.22774755532079
1976,9.04235172630207
1977,6.02411784954168
1978,-5.76415839390282
1979,6.75943093519177
1980,4.20483104427292
1981,-13.1278804850514
1982,-6.80338881534801
1983,-10.9240850339388
1984,-1.11562321716821
1985,5.91302745911393
1986,0.0609452742066878
1987,3.20012546702944
1988,7.33402548758716
1989,1.91938129589555
1990,11.7768859342067
1991,0.358352601622002
1992,4.63119294610988
1993,-2.03511877399539
1994,-1.81492448517923
1995,-0.0726647640626794
1996,4.19592404666709
1997,2.93709941923106
1998,2.58125410190809
1999,0.584126892882125
2000,5.01593475936546
2001,5.91768464924425
2002,15.3291557409618
2003,7.34719496793299
2004,9.25055822923169
2005,6.43851652535925
2006,6.05942803202491
2007,6.59113036066867
2008,6.76447277784263
2009,8.03692510100366
2010,8.00565591623166
2011,5.30792420293915
2012,4.23006117492493
2013,6.67133539308232
2014,6.30971865521856
2015,2.65269329541779
2016,-1.61686894903467
2017,0.805886619091581
2018,1.92275734199798
2019,2.20842927835211
2020,-6.36889840468527
2021,1.109252540249
2022,4.31882949157136
2023,3.31590368111438
2024,4.07106650147703
2025,4.01336180700973
