year,reserves_usd_billion
1960,0.34
1961,0.31
1962,0.29
1963,0.21
1964,0.23
1965,0.24
1966,0.22
1967,0.11
1968,0.12
1969,0.13
1970,0.22
1971,0.43
1972,0.39
1973,0.62
1974,5.71
1975,5.67
1976,5.26
1977,4.34
1978,2.03
1979,5.9
1980,10.64
1981,4.17
1982,1.93
1983,1.25
1984,1.67
1985,1.89
1986,1.35
1987,1.5
1988,0.93
1989,2.04
1990,4.13
1991,4.68
1992,1.2
1993,1.64
1994,1.65
1995,1.71
1996,4.33
1997,7.78
1998,7.3
1999,5.65
2000,10.1
2001,10.65
2002,7.57
2003,7.42
2004,17.26
2005,28.63
2006,42.74
2007,51.91
2008,53.6
2009,43.13
2010,33.31
2011,33.69
2012,44.97
2013,43.68
2014,35.07
2015,29.01
2016,28.02
2017,40.5
2018,43.72
2019,39.38
2020,38.03
2021,41.73
2022,36.81
2023,33.45
2024,40.41
2025,46.02
